INSTANCE_SIZE
100;5
PROCESSING_TIMES
1;6;-1;8;-1;6
2;58;50;40;48;64
3;16;-1;13;-1;-1
4;-1;-1;-1;11;13
5;4;-1;5;-1;4
6;17;15;14;10;19
7;9;12;12;13;5
8;47;49;29;24;46
9;19;12;-1;9;13
10;29;41;40;23;-1
11;8;15;-1;-1;-1
12;4;-1;9;5;4
13;-1;26;18;24;29
14;-1;23;13;-1;10
15;6;10;7;11;11
16;53;54;-1;-1;41
17;47;54;42;-1;36
18;9;-1;7;-1;10
19;47;39;39;29;-1
20;39;-1;-1;62;58
21;20;13;-1;12;15
22;37;-1;-1;40;-1
23;15;-1;15;-1;-1
24;-1;45;78;45;77
25;17;-1;17;11;13
26;50;-1;67;87;58
27;31;30;-1;49;48
28;44;-1;34;-1;-1
29;65;43;73;66;52
30;-1;12;7;-1;-1
31;7;7;-1;8;-1
32;-1;56;-1;49;68
33;17;-1;-1;25;-1
34;54;48;40;82;60
35;-1;66;-1;-1;65
36;-1;-1;-1;10;7
37;-1;46;-1;43;-1
38;-1;44;61;-1;-1
39;59;43;-1;-1;-1
40;17;25;23;16;-1
41;49;-1;-1;-1;37
42;21;-1;12;21;24
43;-1;28;35;-1;-1
44;8;13;9;6;12
45;52;55;46;82;85
46;-1;35;-1;55;29
47;87;-1;87;80;103
48;36;-1;58;43;-1
49;14;-1;11;9;-1
50;17;12;11;-1;-1
51;15;-1;9;-1;-1
52;39;-1;27;-1;-1
53;42;49;-1;39;-1
54;12;19;-1;14;13
55;20;10;12;9;15
56;18;-1;13;15;16
57;34;37;32;46;62
58;68;55;29;66;57
59;24;27;19;27;19
60;-1;62;68;73;-1
61;-1;-1;8;-1;9
62;27;34;25;-1;45
63;71;-1;61;45;-1
64;25;-1;33;24;-1
65;-1;-1;29;-1;41
66;70;-1;-1;47;105
67;9;-1;11;7;8
68;16;16;-1;-1;-1
69;-1;34;43;51;36
70;8;15;-1;-1;15
71;26;-1;51;-1;-1
72;-1;85;-1;65;-1
73;76;48;-1;-1;-1
74;36;36;-1;26;28
75;39;-1;-1;-1;40
76;18;22;14;-1;17
77;-1;13;-1;26;15
78;-1;33;-1;-1;31
79;-1;-1;47;52;-1
80;67;54;78;-1;65
81;12;17;-1;-1;-1
82;36;32;32;34;-1
83;65;48;-1;59;-1
84;59;50;52;36;62
85;4;8;6;4;6
86;46;-1;29;33;-1
87;-1;-1;51;-1;33
88;38;-1;45;-1;-1
89;12;12;5;-1;-1
90;38;47;27;36;38
91;35;20;24;33;46
92;-1;-1;-1;36;45
93;-1;-1;16;25;23
94;5;7;5;10;11
95;-1;60;-1;-1;54
96;18;18;30;15;-1
97;15;14;-1;-1;9
98;5;4;8;5;8
99;13;-1;15;11;14
100;44;56;-1;36;53
CAPABLE_MACHINES
1;1;0;1;0;1
2;1;1;1;1;1
3;1;0;1;0;0
4;0;0;0;1;1
5;1;0;1;0;1
6;1;1;1;1;1
7;1;1;1;1;1
8;1;1;1;1;1
9;1;1;0;1;1
10;1;1;1;1;0
11;1;1;0;0;0
12;1;0;1;1;1
13;0;1;1;1;1
14;0;1;1;0;1
15;1;1;1;1;1
16;1;1;0;0;1
17;1;1;1;0;1
18;1;0;1;0;1
19;1;1;1;1;0
20;1;0;0;1;1
21;1;1;0;1;1
22;1;0;0;1;0
23;1;0;1;0;0
24;0;1;1;1;1
25;1;0;1;1;1
26;1;0;1;1;1
27;1;1;0;1;1
28;1;0;1;0;0
29;1;1;1;1;1
30;0;1;1;0;0
31;1;1;0;1;0
32;0;1;0;1;1
33;1;0;0;1;0
34;1;1;1;1;1
35;0;1;0;0;1
36;0;0;0;1;1
37;0;1;0;1;0
38;0;1;1;0;0
39;1;1;0;0;0
40;1;1;1;1;0
41;1;0;0;0;1
42;1;0;1;1;1
43;0;1;1;0;0
44;1;1;1;1;1
45;1;1;1;1;1
46;0;1;0;1;1
47;1;0;1;1;1
48;1;0;1;1;0
49;1;0;1;1;0
50;1;1;1;0;0
51;1;0;1;0;0
52;1;0;1;0;0
53;1;1;0;1;0
54;1;1;0;1;1
55;1;1;1;1;1
56;1;0;1;1;1
57;1;1;1;1;1
58;1;1;1;1;1
59;1;1;1;1;1
60;0;1;1;1;0
61;0;0;1;0;1
62;1;1;1;0;1
63;1;0;1;1;0
64;1;0;1;1;0
65;0;0;1;0;1
66;1;0;0;1;1
67;1;0;1;1;1
68;1;1;0;0;0
69;0;1;1;1;1
70;1;1;0;0;1
71;1;0;1;0;0
72;0;1;0;1;0
73;1;1;0;0;0
74;1;1;0;1;1
75;1;0;0;0;1
76;1;1;1;0;1
77;0;1;0;1;1
78;0;1;0;0;1
79;0;0;1;1;0
80;1;1;1;0;1
81;1;1;0;0;0
82;1;1;1;1;0
83;1;1;0;1;0
84;1;1;1;1;1
85;1;1;1;1;1
86;1;0;1;1;0
87;0;0;1;0;1
88;1;0;1;0;0
89;1;1;1;0;0
90;1;1;1;1;1
91;1;1;1;1;1
92;0;0;0;1;1
93;0;0;1;1;1
94;1;1;1;1;1
95;0;1;0;0;1
96;1;1;1;1;0
97;1;1;0;0;1
98;1;1;1;1;1
99;1;0;1;1;1
100;1;1;0;1;1
