INSTANCE_SIZE
100;8
PROCESSING_TIMES
1;56;-1;66;90;62;55;-1;95
2;-1;14;-1;-1;-1;7;-1;-1
3;80;-1;-1;79;79;-1;46;51
4;23;13;16;23;19;25;14;17
5;16;24;-1;-1;24;20;20;20
6;-1;-1;22;-1;-1;19;12;16
7;11;20;19;21;13;17;15;23
8;21;-1;-1;-1;-1;21;-1;16
9;23;16;24;23;18;18;19;26
10;9;-1;13;-1;-1;-1;7;7
11;-1;-1;-1;-1;45;-1;-1;38
12;-1;-1;30;33;25;31;24;27
13;19;-1;17;-1;-1;14;-1;16
14;-1;-1;-1;65;46;72;-1;-1
15;15;-1;10;21;22;22;19;19
16;-1;-1;33;-1;-1;-1;-1;48
17;18;27;32;22;28;21;22;26
18;27;-1;34;33;24;28;42;30
19;-1;28;34;-1;-1;24;-1;33
20;11;-1;11;8;-1;8;11;-1
21;-1;21;22;18;18;12;13;-1
22;36;22;-1;30;-1;-1;35;29
23;56;47;66;-1;-1;-1;77;43
24;-1;34;39;44;54;43;50;43
25;-1;21;23;37;26;20;41;-1
26;-1;8;5;-1;-1;-1;-1;-1
27;41;33;23;-1;23;-1;34;33
28;-1;10;8;-1;-1;-1;-1;9
29;9;12;14;-1;-1;10;8;-1
30;-1;-1;-1;12;-1;-1;-1;16
31;-1;63;-1;-1;-1;-1;-1;56
32;46;60;59;-1;-1;55;-1;-1
33;29;-1;43;34;48;56;52;-1
34;-1;-1;-1;-1;5;4;-1;-1
35;-1;-1;7;5;4;-1;-1;7
36;35;19;28;39;-1;26;23;19
37;24;19;-1;-1;19;22;13;14
38;-1;-1;-1;-1;88;56;-1;-1
39;46;35;32;-1;54;41;38;40
40;18;20;12;-1;14;12;13;13
41;41;52;62;-1;51;65;49;30
42;76;-1;90;-1;-1;-1;-1;-1
43;-1;-1;65;-1;98;-1;67;52
44;12;13;6;6;-1;10;7;5
45;-1;-1;-1;7;-1;-1;6;7
46;7;-1;-1;-1;10;11;5;6
47;-1;41;53;-1;-1;-1;47;-1
48;12;16;18;22;12;27;-1;20
49;25;-1;-1;27;-1;-1;-1;17
50;29;-1;16;30;-1;-1;-1;-1
51;67;54;-1;82;-1;54;84;45
52;-1;5;-1;5;-1;6;-1;-1
53;-1;22;18;23;27;-1;29;-1
54;65;28;48;52;64;42;66;-1
55;-1;-1;13;12;-1;-1;-1;-1
56;-1;5;-1;-1;-1;-1;-1;8
57;-1;-1;8;9;-1;-1;-1;-1
58;42;-1;32;-1;-1;-1;-1;-1
59;25;-1;-1;-1;15;15;-1;-1
60;19;-1;14;16;25;-1;17;21
61;-1;9;11;10;17;21;14;18
62;-1;29;-1;61;-1;-1;57;62
63;18;14;18;11;-1;10;10;16
64;56;60;47;-1;83;39;67;52
65;21;18;19;-1;-1;-1;-1;-1
66;-1;-1;58;81;-1;46;74;67
67;-1;-1;-1;-1;-1;18;-1;19
68;42;-1;53;-1;78;-1;-1;-1
69;-1;-1;-1;-1;60;62;53;-1
70;37;-1;26;24;24;-1;-1;25
71;18;-1;-1;-1;10;-1;14;-1
72;15;12;-1;-1;22;13;-1;-1
73;99;96;84;-1;99;87;-1;96
74;4;-1;7;-1;5;-1;-1;6
75;80;77;97;66;80;50;55;59
76;-1;-1;50;33;-1;-1;52;52
77;31;59;37;33;51;29;41;38
78;44;83;89;92;66;70;79;91
79;-1;27;40;38;-1;-1;-1;-1
80;65;52;53;-1;-1;-1;-1;-1
81;-1;-1;-1;69;-1;-1;59;-1
82;-1;-1;-1;-1;42;-1;-1;71
83;-1;33;-1;32;-1;-1;49;-1
84;-1;-1;58;52;-1;91;61;88
85;-1;-1;-1;-1;-1;-1;10;6
86;-1;65;-1;-1;-1;-1;76;-1
87;-1;49;107;-1;48;-1;-1;-1
88;42;-1;-1;38;42;-1;35;-1
89;-1;-1;-1;-1;16;-1;-1;11
90;-1;-1;-1;-1;-1;-1;40;20
91;101;60;80;-1;74;64;59;71
92;-1;43;45;-1;65;62;46;65
93;28;-1;41;34;-1;42;41;44
94;-1;46;48;65;-1;66;52;-1
95;24;-1;16;18;19;13;19;21
96;17;-1;19;-1;-1;-1;-1;-1
97;25;26;28;42;29;-1;-1;48
98;-1;51;-1;43;-1;36;-1;42
99;17;13;-1;-1;-1;-1;-1;-1
100;11;-1;17;-1;14;-1;13;-1
CAPABLE_MACHINES
1;1;0;1;1;1;1;0;1
2;0;1;0;0;0;1;0;0
3;1;0;0;1;1;0;1;1
4;1;1;1;1;1;1;1;1
5;1;1;0;0;1;1;1;1
6;0;0;1;0;0;1;1;1
7;1;1;1;1;1;1;1;1
8;1;0;0;0;0;1;0;1
9;1;1;1;1;1;1;1;1
10;1;0;1;0;0;0;1;1
11;0;0;0;0;1;0;0;1
12;0;0;1;1;1;1;1;1
13;1;0;1;0;0;1;0;1
14;0;0;0;1;1;1;0;0
15;1;0;1;1;1;1;1;1
16;0;0;1;0;0;0;0;1
17;1;1;1;1;1;1;1;1
18;1;0;1;1;1;1;1;1
19;0;1;1;0;0;1;0;1
20;1;0;1;1;0;1;1;0
21;0;1;1;1;1;1;1;0
22;1;1;0;1;0;0;1;1
23;1;1;1;0;0;0;1;1
24;0;1;1;1;1;1;1;1
25;0;1;1;1;1;1;1;0
26;0;1;1;0;0;0;0;0
27;1;1;1;0;1;0;1;1
28;0;1;1;0;0;0;0;1
29;1;1;1;0;0;1;1;0
30;0;0;0;1;0;0;0;1
31;0;1;0;0;0;0;0;1
32;1;1;1;0;0;1;0;0
33;1;0;1;1;1;1;1;0
34;0;0;0;0;1;1;0;0
35;0;0;1;1;1;0;0;1
36;1;1;1;1;0;1;1;1
37;1;1;0;0;1;1;1;1
38;0;0;0;0;1;1;0;0
39;1;1;1;0;1;1;1;1
40;1;1;1;0;1;1;1;1
41;1;1;1;0;1;1;1;1
42;1;0;1;0;0;0;0;0
43;0;0;1;0;1;0;1;1
44;1;1;1;1;0;1;1;1
45;0;0;0;1;0;0;1;1
46;1;0;0;0;1;1;1;1
47;0;1;1;0;0;0;1;0
48;1;1;1;1;1;1;0;1
49;1;0;0;1;0;0;0;1
50;1;0;1;1;0;0;0;0
51;1;1;0;1;0;1;1;1
52;0;1;0;1;0;1;0;0
53;0;1;1;1;1;0;1;0
54;1;1;1;1;1;1;1;0
55;0;0;1;1;0;0;0;0
56;0;1;0;0;0;0;0;1
57;0;0;1;1;0;0;0;0
58;1;0;1;0;0;0;0;0
59;1;0;0;0;1;1;0;0
60;1;0;1;1;1;0;1;1
61;0;1;1;1;1;1;1;1
62;0;1;0;1;0;0;1;1
63;1;1;1;1;0;1;1;1
64;1;1;1;0;1;1;1;1
65;1;1;1;0;0;0;0;0
66;0;0;1;1;0;1;1;1
67;0;0;0;0;0;1;0;1
68;1;0;1;0;1;0;0;0
69;0;0;0;0;1;1;1;0
70;1;0;1;1;1;0;0;1
71;1;0;0;0;1;0;1;0
72;1;1;0;0;1;1;0;0
73;1;1;1;0;1;1;0;1
74;1;0;1;0;1;0;0;1
75;1;1;1;1;1;1;1;1
76;0;0;1;1;0;0;1;1
77;1;1;1;1;1;1;1;1
78;1;1;1;1;1;1;1;1
79;0;1;1;1;0;0;0;0
80;1;1;1;0;0;0;0;0
81;0;0;0;1;0;0;1;0
82;0;0;0;0;1;0;0;1
83;0;1;0;1;0;0;1;0
84;0;0;1;1;0;1;1;1
85;0;0;0;0;0;0;1;1
86;0;1;0;0;0;0;1;0
87;0;1;1;0;1;0;0;0
88;1;0;0;1;1;0;1;0
89;0;0;0;0;1;0;0;1
90;0;0;0;0;0;0;1;1
91;1;1;1;0;1;1;1;1
92;0;1;1;0;1;1;1;1
93;1;0;1;1;0;1;1;1
94;0;1;1;1;0;1;1;0
95;1;0;1;1;1;1;1;1
96;1;0;1;0;0;0;0;0
97;1;1;1;1;1;0;0;1
98;0;1;0;1;0;1;0;1
99;1;1;0;0;0;0;0;0
100;1;0;1;0;1;0;1;0
