INSTANCE_SIZE
25;3
PROCESSING_TIMES
1;26;32;35
2;14;16;15
3;52;40;54
4;-1;34;32
5;44;51;53
6;58;-1;59
7;46;-1;55
8;7;5;6
9;10;12;13
10;62;-1;84
11;61;59;58
12;69;-1;74
13;82;-1;70
14;-1;13;10
15;-1;43;62
16;85;89;70
17;6;6;4
18;39;44;39
19;30;29;25
20;-1;25;20
21;14;-1;19
22;-1;6;7
23;59;-1;43
24;23;24;23
25;26;33;24
CAPABLE_MACHINES
1;1;1;1
2;1;1;1
3;1;1;1
4;0;1;1
5;1;1;1
6;1;0;1
7;1;0;1
8;1;1;1
9;1;1;1
10;1;0;1
11;1;1;1
12;1;0;1
13;1;0;1
14;0;1;1
15;0;1;1
16;1;1;1
17;1;1;1
18;1;1;1
19;1;1;1
20;0;1;1
21;1;0;1
22;0;1;1
23;1;0;1
24;1;1;1
25;1;1;1
