900;;;
1;360.40;302.62;302.62
2;340.53;281.48;281.48
3;315.78;295.05;281.48
4;341.58;291.15;281.48
5;329.47;290.14;281.48
6;303.73;289.93;281.48
7;348.64;308.48;281.48
8;325.32;302.39;281.48
9;336.21;300.87;281.48
10;336.20;298.35;281.48
11;346.51;279.63;279.63
12;307.14;290.65;279.63
13;337.06;294.13;279.63
14;308.14;295.43;279.63
15;328.58;297.17;279.63
16;356.88;294.19;279.63
17;347.46;296.31;279.63
18;316.22;284.46;279.63
19;342.71;295.41;279.63
20;332.26;285.09;279.63
21;322.52;287.39;279.63
22;339.50;303.29;279.63
23;350.37;299.66;279.63
24;330.84;287.60;279.63
25;339.52;301.99;279.63
26;335.83;280.79;279.63
27;358.62;299.99;279.63
28;337.85;281.29;279.63
29;334.28;293.36;279.63
30;341.33;287.68;279.63
31;317.25;285.28;279.63
32;323.23;301.24;279.63
33;326.99;289.42;279.63
34;338.54;300.88;279.63
35;317.73;283.73;279.63
36;323.23;285.56;279.63
37;332.12;289.58;279.63
38;341.58;296.25;279.63
39;323.94;285.99;279.63
40;361.34;300.46;279.63
41;328.36;298.25;279.63
42;309.03;291.86;279.63
43;339.92;298.68;279.63
44;358.19;311.23;279.63
45;334.48;293.73;279.63
46;322.68;290.74;279.63
47;331.47;283.02;279.63
48;327.29;291.92;279.63
49;347.52;295.36;279.63
50;323.39;303.20;279.63
51;315.07;300.70;279.63
52;324.68;274.39;274.39
53;314.11;292.09;274.39
54;356.74;285.25;274.39
55;319.47;299.81;274.39
56;315.13;292.64;274.39
57;339.49;312.82;274.39
58;308.12;288.86;274.39
59;321.38;285.18;274.39
60;321.24;297.89;274.39
61;311.29;284.53;274.39
62;312.51;303.88;274.39
63;332.35;286.42;274.39
64;349.52;303.02;274.39
65;344.82;291.33;274.39
66;357.31;289.52;274.39
67;320.48;301.41;274.39
68;327.22;293.30;274.39
69;315.82;300.53;274.39
70;339.12;292.99;274.39
71;325.07;294.80;274.39
72;303.33;299.23;274.39
73;334.57;303.38;274.39
74;322.35;285.59;274.39
75;310.68;285.29;274.39
76;349.38;282.08;274.39
77;321.35;298.89;274.39
78;324.26;300.28;274.39
79;346.72;296.08;274.39
80;330.58;297.42;274.39
81;337.91;288.28;274.39
82;332.36;297.20;274.39
83;304.88;291.88;274.39
84;366.52;285.55;274.39
85;332.62;289.30;274.39
86;328.58;301.23;274.39
87;364.44;292.36;274.39
88;315.70;288.58;274.39
89;340.54;283.91;274.39
90;329.46;299.26;274.39
91;302.51;301.51;274.39
92;316.96;312.19;274.39
93;334.52;303.14;274.39
94;312.67;298.85;274.39
95;346.60;294.55;274.39
96;309.62;288.83;274.39
97;303.55;293.72;274.39
98;288.82;274.64;274.39
99;328.44;296.02;274.39
100;338.91;295.61;274.39
101;314.86;291.25;274.39
102;320.13;286.08;274.39
103;327.51;309.21;274.39
104;349.31;269.22;269.22
105;329.84;289.68;269.22
106;324.28;305.11;269.22
107;323.74;298.34;269.22
108;344.95;294.10;269.22
109;325.85;297.88;269.22
110;369.65;270.87;269.22
111;318.89;289.77;269.22
112;332.94;292.94;269.22
113;340.96;304.42;269.22
114;336.51;289.51;269.22
115;331.22;286.19;269.22
116;321.16;292.50;269.22
117;318.37;283.23;269.22
118;333.98;303.44;269.22
119;345.01;297.69;269.22
120;298.11;275.36;269.22
121;337.69;276.65;269.22
122;359.64;289.84;269.22
123;355.61;293.88;269.22
